Unnamed: 0,label_x,url,brand,name,skin_type,price,concern,cs,label_y,img
433,cleanser,https://www.sephora.com/product/deep-exfoliating-cleanser-P500016?skuId=2581221&icid2=products%20grid:p500016:product,caudalie,deep exfoliating cleanser,normal,$38.00 ,"pores, dullness,uneven texture,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2581221-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
433,cleanser,https://www.sephora.com/product/deep-exfoliating-cleanser-P500016?skuId=2581221&icid2=products%20grid:p500016:product,caudalie,deep exfoliating cleanser,combination,$38.00 ,"pores, dullness,uneven texture,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2581221-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
433,cleanser,https://www.sephora.com/product/deep-exfoliating-cleanser-P500016?skuId=2581221&icid2=products%20grid:p500016:product,caudalie,deep exfoliating cleanser,oily,$38.00 ,"pores, dullness,uneven texture,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2581221-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
434,cleanser,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?skuId=2269991&icid2=products%20grid:p447783:product,dr. barbara sturm,cleanser,normal,$80.00 ,"dryness, fine lines,wrinkles,acne,blemishes",0.3651483716701107,Cleanser,https://www.sephora.com/productimages/sku/s2269991-main-zoom.jpg?imwidth=175
434,cleanser,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?skuId=2269991&icid2=products%20grid:p447783:product,dr. barbara sturm,cleanser,dry,$80.00 ,"dryness, fine lines,wrinkles,acne,blemishes",0.3651483716701107,Cleanser,https://www.sephora.com/productimages/sku/s2269991-main-zoom.jpg?imwidth=175
434,cleanser,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?skuId=2269991&icid2=products%20grid:p447783:product,dr. barbara sturm,cleanser,combination,$80.00 ,"dryness, fine lines,wrinkles,acne,blemishes",0.3651483716701107,Cleanser,https://www.sephora.com/productimages/sku/s2269991-main-zoom.jpg?imwidth=175
434,cleanser,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?skuId=2269991&icid2=products%20grid:p447783:product,dr. barbara sturm,cleanser,oily,$80.00 ,"dryness, fine lines,wrinkles,acne,blemishes",0.3651483716701107,Cleanser,https://www.sephora.com/productimages/sku/s2269991-main-zoom.jpg?imwidth=175
435,cleanser,https://www.sephora.com/product/first-aid-beauty-bye-bye-bumps-kit-2-0-P504882?skuId=2564912&icid2=products%20grid:p504882:product,first aid beauty,bye bye bumps - best of body kit,normal,$30.00 ,"dryness, redness,uneven texture,",0.4714045207910318,Cleanser,https://www.sephora.com/productimages/sku/s2564912-main-zoom.jpg?imwidth=175
435,cleanser,https://www.sephora.com/product/first-aid-beauty-bye-bye-bumps-kit-2-0-P504882?skuId=2564912&icid2=products%20grid:p504882:product,first aid beauty,bye bye bumps - best of body kit,dry,$30.00 ,"dryness, redness,uneven texture,",0.4714045207910318,Cleanser,https://www.sephora.com/productimages/sku/s2564912-main-zoom.jpg?imwidth=175
435,cleanser,https://www.sephora.com/product/first-aid-beauty-bye-bye-bumps-kit-2-0-P504882?skuId=2564912&icid2=products%20grid:p504882:product,first aid beauty,bye bye bumps - best of body kit,combination,$30.00 ,"dryness, redness,uneven texture,",0.4714045207910318,Cleanser,https://www.sephora.com/productimages/sku/s2564912-main-zoom.jpg?imwidth=175
