,Unnamed: 0,label,url,brand,name,skin_type,price,concern,img,cs
17,17,face-moisturizer,https://www.sephora.com/product/farmacy-honey-halo-ultra-hydrating-ceramide-moisturizer-P463036?icid2=products%20grid:p463036:product,farmacy,honey halo ultra-hydrating ceramide moisturizer,dry,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2369957-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.36514837167011077
18,18,face-moisturizer,https://www.sephora.com/product/hydra-vizor-mineral-spf-30-refillable-moisturizer-P506080?icid2=products%20grid:p506080:product,fenty skin,hydra vizor mineral spf 30 refillable moisturizer,normal,$36.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2648764-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
18,18,face-moisturizer,https://www.sephora.com/product/hydra-vizor-mineral-spf-30-refillable-moisturizer-P506080?icid2=products%20grid:p506080:product,fenty skin,hydra vizor mineral spf 30 refillable moisturizer,dry,$36.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2648764-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2357022603955159
18,18,face-moisturizer,https://www.sephora.com/product/hydra-vizor-mineral-spf-30-refillable-moisturizer-P506080?icid2=products%20grid:p506080:product,fenty skin,hydra vizor mineral spf 30 refillable moisturizer,combination,$36.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2648764-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.1666666666666667
18,18,face-moisturizer,https://www.sephora.com/product/hydra-vizor-mineral-spf-30-refillable-moisturizer-P506080?icid2=products%20grid:p506080:product,fenty skin,hydra vizor mineral spf 30 refillable moisturizer,oily,$36.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2648764-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
19,19,face-moisturizer,https://www.sephora.com/product/water-drench-hyaluronic-cloud-cream-P415701?skuId=1898550&icid2=products%20grid:p415701:product,peter thomas roth,water drench® hyaluronic cloud cream hydrating refillable moisturizer,normal,$54.00 ,"fine lines,wrinkles, dryness,dullness,",https://www.sephora.com/productimages/sku/s1898550-main-zoom.jpg?imwidth=175,0.36514837167011077
19,19,face-moisturizer,https://www.sephora.com/product/water-drench-hyaluronic-cloud-cream-P415701?skuId=1898550&icid2=products%20grid:p415701:product,peter thomas roth,water drench® hyaluronic cloud cream hydrating refillable moisturizer,dry,$54.00 ,"fine lines,wrinkles, dryness,dullness,",https://www.sephora.com/productimages/sku/s1898550-main-zoom.jpg?imwidth=175,0.4082482904638631
19,19,face-moisturizer,https://www.sephora.com/product/water-drench-hyaluronic-cloud-cream-P415701?skuId=1898550&icid2=products%20grid:p415701:product,peter thomas roth,water drench® hyaluronic cloud cream hydrating refillable moisturizer,combination,$54.00 ,"fine lines,wrinkles, dryness,dullness,",https://www.sephora.com/productimages/sku/s1898550-main-zoom.jpg?imwidth=175,0.3086066999241838
19,19,face-moisturizer,https://www.sephora.com/product/water-drench-hyaluronic-cloud-cream-P415701?skuId=1898550&icid2=products%20grid:p415701:product,peter thomas roth,water drench® hyaluronic cloud cream hydrating refillable moisturizer,oily,$54.00 ,"fine lines,wrinkles, dryness,dullness,",https://www.sephora.com/productimages/sku/s1898550-main-zoom.jpg?imwidth=175,0.36514837167011077
20,20,face-moisturizer,https://www.sephora.com/product/nourishing-moisturizer-hydrate-repair-P438620?skuId=2457968&icid2=products%20grid:p438620:product,sephora collection,nourishing moisturizer for skin barrier,normal,$20.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2457968-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2886751345948129
20,20,face-moisturizer,https://www.sephora.com/product/nourishing-moisturizer-hydrate-repair-P438620?skuId=2457968&icid2=products%20grid:p438620:product,sephora collection,nourishing moisturizer for skin barrier,dry,$20.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2457968-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.4082482904638631
21,21,face-moisturizer,https://www.sephora.com/product/cream-skin-refillable-toner-moisturizer-with-ceramides-peptides-P505897?skuId=2671857&icid2=products%20grid:p505897:product,laneige,cream skin refillable toner & moisturizer with ceramides and peptides,normal,$36.00 ,"dryness,loss of firmness,elasticity,,,",https://www.sephora.com/productimages/sku/s2671857-main-zoom.jpg?pb=allure-2023-bestofbeauty-badge&imwidth=175,0.20412414523193154
21,21,face-moisturizer,https://www.sephora.com/product/cream-skin-refillable-toner-moisturizer-with-ceramides-peptides-P505897?skuId=2671857&icid2=products%20grid:p505897:product,laneige,cream skin refillable toner & moisturizer with ceramides and peptides,dry,$36.00 ,"dryness,loss of firmness,elasticity,,,",https://www.sephora.com/productimages/sku/s2671857-main-zoom.jpg?pb=allure-2023-bestofbeauty-badge&imwidth=175,0.2357022603955159
21,21,face-moisturizer,https://www.sephora.com/product/cream-skin-refillable-toner-moisturizer-with-ceramides-peptides-P505897?skuId=2671857&icid2=products%20grid:p505897:product,laneige,cream skin refillable toner & moisturizer with ceramides and peptides,combination,$36.00 ,"dryness,loss of firmness,elasticity,,,",https://www.sephora.com/productimages/sku/s2671857-main-zoom.jpg?pb=allure-2023-bestofbeauty-badge&imwidth=175,0.1666666666666667
